OrderID,OrderDateKey,ShipDateKey,ProductKey,CustomerKey,ShipMode,PaymentMethod,Quantity,UnitPrice,DiscountPct,DiscountAmount,SalesAmount,CostAmount,Profit,ShipDays
1000,20220705,20220709,4,195,Same Day,Credit Card,1,55000,5,2750.0,52250.0,32080.01,20169.99,4
1001,20220405,20220408,2,76,Express,COD,3,79999,0,0.0,239997.0,152671.06,87325.94,3
1002,20240423,20240428,6,44,First Class,COD,2,1299,0,0.0,2598.0,1745.59,852.41,5
1003,20230509,20230513,19,37,First Class,UPI,2,8999,5,449.95,17098.1,12195.1,4903.0,4
1004,20220120,20220127,15,74,Same Day,COD,5,2499,0,0.0,12495.0,7056.83,5438.17,7
1005,20230905,20230911,14,177,Express,Net Banking,3,999,5,49.95,2847.15,2155.03,692.12,6
1006,20240916,20240917,8,98,Same Day,Credit Card,5,1199,0,0.0,5995.0,3986.45,2008.55,1
1007,20240321,20240324,1,145,Same Day,Debit Card,1,45000,10,4500.0,40500.0,31456.55,9043.45,3
1008,20231223,20231225,7,159,Express,Credit Card,3,2800,15,420.0,7140.0,5889.37,1250.63,2
1009,20220322,20220325,15,9,Standard,UPI,5,2499,0,0.0,12495.0,8702.42,3792.58,3
1010,20231101,20231107,14,45,Same Day,COD,2,999,0,0.0,1998.0,1413.19,584.81,6
1011,20241024,20241027,6,66,Same Day,Credit Card,4,1299,20,259.8,4156.8,3164.51,992.29,3
1012,20240817,20240818,5,194,First Class,COD,2,3499,20,699.8,5598.4,4795.48,802.92,1
1013,20240120,20240121,13,4,Same Day,UPI,3,12999,10,1299.9,35097.3,22412.27,12685.03,1
1014,20240220,20240227,12,28,Same Day,COD,2,3499,5,174.95,6648.1,3883.92,2764.18,7
1015,20230330,20230405,3,163,First Class,Credit Card,4,2999,15,449.85,10196.6,7322.81,2873.79,6
1016,20221014,20221015,2,78,Express,Net Banking,4,79999,0,0.0,319996.0,182218.01,137777.99,1
1017,20240718,20240721,18,108,First Class,Credit Card,5,599,15,89.85,2545.75,2082.48,463.27,3
1018,20240929,20241004,14,72,First Class,Net Banking,1,999,15,149.85,849.15,623.48,225.67,5
1019,20230429,20230506,12,26,Same Day,Credit Card,3,3499,10,349.9,9447.3,7666.37,1780.93,7
1020,20240326,20240329,7,32,Standard,Credit Card,4,2800,0,0.0,11200.0,7644.6,3555.4,3
1021,20231115,20231117,5,145,Express,COD,2,3499,0,0.0,6998.0,5010.31,1987.69,2
